Year,Revenue ($millions),Expenses ($millions),Balance ($millions)
1998,6510513,10826108,-4315595
1999,6316052,6344384,-28332
2000,6345333,6574632,-229299
2001,6745486,6845851,-100365
2002,7084372,7081194,3178
2003,7246787,7384434,-137647
2004,7378993,7751536,-372543
2005,7879032,8111105,-232073
2006,8511672,8575931,-64259
2007,8837997,9368619,-530622
2008,9408473,9963305,-554832
2009,10414491,9917288,497203
2010,11057740,10542178,515562
2011,11311103,10650071,661032
2012,11711147,10650071,1061076
2013,10918942,10461634,457308
2014,11249617,10210891,1038726
2015,12020523,10826108,1194415